Name,description,LON,LAT
The Avenue Royal Park Connectors,,14495410.00000000186264514923,-3778576.00000000046566128731
The Avenue Royal Park Connectors,,14495414.00000000000000000000,-3778568.00000000000000000000
The Avenue Royal Park Connectors,,14495417.00000000000000000000,-3778560.00000000000000000000
The Avenue Royal Park Connectors,,14495418.00000000000000000000,-3778555.99999999953433871269
The Avenue Royal Park Connectors,,14495425.00000000000000000000,-3778550.00000000000000000000
The Avenue Royal Park Connectors,,14495431.00000000000000000000,-3778546.00000000000000000000
The Avenue Royal Park Connectors,,14495447.99999999813735485077,-3778535.00000000000000000000
The Avenue Royal Park Connectors,,14495462.00000000000000000000,-3778526.00000000000000000000
The Avenue Royal Park Connectors,,14495473.99999999813735485077,-3778521.00000000000000000000
The Avenue Royal Park Connectors,,14495489.00000000000000000000,-3778514.00000000000000000000
The Avenue Royal Park Connectors,,14495500.99999999813735485077,-3778508.99999999953433871269
The Avenue Royal Park Connectors,,14495515.00000000000000000000,-3778504.00000000000000000000
The Avenue Royal Park Connectors,,14495527.00000000186264514923,-3778499.99999999953433871269
The Avenue Royal Park Connectors,,14495540.00000000000000000000,-3778497.00000000000000000000
The Avenue Royal Park Connectors,,14495559.00000000000000000000,-3778492.00000000000000000000
The Avenue Royal Park Connectors,,14495574.00000000000000000000,-3778488.99999999953433871269
The Avenue Royal Park Connectors,,14495590.99999999813735485077,-3778485.00000000000000000000
The Avenue Royal Park Connectors,,14495605.00000000000000000000,-3778482.00000000046566128731
The Avenue Royal Park Connectors,,14495622.00000000000000000000,-3778478.00000000000000000000
The Avenue Royal Park Connectors,,14495635.99999999813735485077,-3778475.00000000046566128731
The Avenue Royal Park Connectors,,14495649.00000000000000000000,-3778472.00000000000000000000
The Avenue Royal Park Connectors,,14495659.00000000000000000000,-3778470.00000000000000000000
The Avenue Royal Park Connectors,,14495670.00000000186264514923,-3778468.99999999953433871269
The Avenue Royal Park Connectors,,14495676.00000000000000000000,-3778468.00000000000000000000
The Avenue Royal Park Connectors,,14495685.00000000000000000000,-3778468.00000000000000000000
The Avenue Royal Park Connectors,,14495686.00000000000000000000,-3778458.00000000000000000000
The Avenue Royal Park Connectors,,14495687.00000000000000000000,-3778448.00000000000000000000
The Avenue Royal Park Connectors,,14495689.99999999813735485077,-3778438.00000000000000000000
The Avenue Royal Park Connectors,,14495685.00000000000000000000,-3778436.00000000000000000000
The Avenue Royal Park Connectors,,14495680.99999999813735485077,-3778435.00000000046566128731
The Avenue Royal Park Connectors,,14495676.00000000000000000000,-3778434.00000000000000000000
The Avenue Royal Park Connectors,,14495656.00000000000000000000,-3778430.00000000000000000000
The Avenue Royal Park Connectors,,14495643.00000000186264514923,-3778427.00000000000000000000
