Name,description,LON,LAT
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500094.99999999813735485077,-3779609.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500098.00000000000000000000,-3779607.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500105.00000000000000000000,-3779603.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500117.00000000000000000000,-3779603.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500128.00000000000000000000,-3779602.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500138.00000000186264514923,-3779599.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500157.99999999813735485077,-3779595.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500166.99999999813735485077,-3779592.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500171.00000000000000000000,-3779591.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500174.00000000186264514923,-3779589.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500177.00000000000000000000,-3779585.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500236.00000000186264514923,-3779569.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500252.00000000000000000000,-3779563.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14500278.00000000000000000000,-3779558.00000000000000000000
