Name,description,LON,LAT
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495304.99999999813735485077,-3776778.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495301.00000000000000000000,-3776793.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495270.00000000000000000000,-3776794.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495268.99999999813735485077,-3776798.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495268.99999999813735485077,-3776803.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495270.00000000000000000000,-3776807.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495271.00000000000000000000,-3776811.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495271.00000000000000000000,-3776814.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495271.00000000000000000000,-3776821.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495271.00000000000000000000,-3776824.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495268.99999999813735485077,-3776827.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495265.00000000000000000000,-3776831.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495263.00000000000000000000,-3776833.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495262.00000000000000000000,-3776834.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495258.99999999813735485077,-3776842.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495263.00000000000000000000,-3776842.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495268.99999999813735485077,-3776842.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495276.99999999813735485077,-3776845.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495281.00000000000000000000,-3776852.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495284.00000000000000000000,-3776854.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495285.99999999813735485077,-3776856.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495289.00000000000000000000,-3776859.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495292.00000000000000000000,-3776861.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495294.00000000186264514923,-3776863.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495295.99999999813735485077,-3776865.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495298.00000000000000000000,-3776868.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495299.00000000000000000000,-3776871.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495300.00000000000000000000,-3776879.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495301.00000000000000000000,-3776885.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495303.00000000186264514923,-3776885.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495303.99999999813735485077,-3776885.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495303.99999999813735485077,-3776887.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495303.99999999813735485077,-3776888.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495309.00000000000000000000,-3776901.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495311.00000000186264514923,-3776903.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495329.00000000186264514923,-3776898.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495332.00000000000000000000,-3776898.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495337.00000000000000000000,-3776897.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495339.99999999813735485077,-3776897.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495341.00000000000000000000,-3776898.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495342.00000000000000000000,-3776900.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495343.00000000000000000000,-3776901.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495342.00000000000000000000,-3776905.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495330.99999999813735485077,-3776965.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495330.00000000186264514923,-3776968.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495328.00000000000000000000,-3776971.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495327.00000000000000000000,-3776975.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495325.00000000000000000000,-3776977.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495324.00000000000000000000,-3776979.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495323.00000000000000000000,-3776986.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495320.00000000186264514923,-3777005.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495320.00000000186264514923,-3777009.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495319.00000000000000000000,-3777013.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495319.00000000000000000000,-3777017.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495319.00000000000000000000,-3777022.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495320.00000000186264514923,-3777028.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495319.00000000000000000000,-3777033.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495317.00000000000000000000,-3777044.00000000000000000000
